material_id,formula,energy_above_hull,n_elements
mp-1183085,Ac2Mg,0.033049974166663006,2
mp-1183089,Ac2Mg,0.020178464166657,2
mp-985286,Ac2Mg,0.032930549166664005,2
mp-866103,Ac2MgSn,0.0,3
mp-11107,Ac2O3,0.0,2
mp-32800,Ac2S3,0.0,2
mp-977351,Ac2S3,0.052699622749997004,2
mp-862698,Ac2SiAu,0.087466920961524,3
mp-1183066,Ac2ZnAu,0.008908270597764001,3
mp-1183122,Ac3Si,0.081147285,2
mp-866199,AcAg,0.0,2
mp-862890,AcAg2Sn,0.044957207812501,3
mp-865950,AcAg3,0.0,2
mp-862972,AcAgAu2,0.023172729999998,3
mp-862617,AcAl3,0.0,2
mp-1183115,AcAlO3,0.0,3
mp-867838,AcAu3,0.0,2
mp-27972,AcBr3,0.0,2
mp-30274,AcBrO,0.0,3
mp-27971,AcCl3,0.0,2
mp-30273,AcClO,0.0,3
mp-866101,AcCrO3,0.0,3
mp-1183114,AcCu3,0.0,2
mp-864606,AcCuO3,0.0,3
mp-977360,AcF3,0.0046541725,2
mp-985278,AcF3,0.0,2
mp-861502,AcFeO3,0.0,3
mp-24147,AcH2,0.0,2
mp-861605,AcH3,0.0,2
mp-861867,AcI3,0.0,2
mp-866286,AcMg,0.0,2
mp-1184231,AcMg149,0.011412302733333001,2
mp-1183237,AcMg3,0.027513874999998002,2
mp-984785,AcMg3,0.010295386249998002,2
mp-1525815,AcMg5,0.0,2
mp-864996,AcMg5,0.001574085000001,2
mp-1183142,AcMgO3,0.082312486499999,3
mp-1183182,AcMgZn2,0.0,3
mp-864911,AcMnO3,0.0,3
mp-866056,AcN,0.0,2
mp-1183139,AcNiO3,0.0,3
mp-36526,AcOF,0.0,3
mp-865957,AcSnAu2,0.006366787812510001,3
mp-865927,AcTiO3,0.0,3
mp-1183168,AcVO3,0.0,3
mp-1183183,AcY3,0.095069130624992,2
mp-1183226,AcY3,0.098554685624996,2
mp-864809,AcZn3,0.027823433906249,2
mp-18125,Ag(AuF4)2,0.0,3
mp-35835,Ag(AuS)2,0.05118917866666801,3
mp-567334,Ag(BCl)6,0.0,3
mp-777775,Ag(H7O4)2,0.069520204456523,3
mp-35109,Ag(Mo3S4)2,0.06199688422222101,3
mp-1103642,Ag(Mo3Se4)2,0.07602962222222201,3
mp-1105028,Ag(MoSe)3,0.083073184285716,3
mp-1229158,Ag(Te5Au2)2,0.029468011083334,3
mp-29607,Ag(TeMo)6,0.0,3
mp-29717,Ag(W3Br7)2,0.014560410317456002,3
mp-568386,Ag10Te4Br3,0.002081343529411,3
mp-568392,Ag10Te4Br3,0.0,3
mp-1247866,Ag2B8O13,0.007411922173912001,3
