material_id,formula,passed,min_dE_eV,details
mp-1183085,Ac2Mg,False,,材料本身不稳定（不在凸包上）
mp-1183089,Ac2Mg,False,,材料本身不稳定（不在凸包上）
mp-985286,Ac2Mg,False,,材料本身不稳定（不在凸包上）
mp-866103,Ac2MgSn,False,,与 Li 反应: min dE = -0.070 eV/atom
mp-11107,Ac2O3,True,,稳定: min dE = -0.000 eV/atom
mp-32800,Ac2S3,False,,与 Li 反应: min dE = -0.111 eV/atom
mp-977351,Ac2S3,False,,与 Li 反应: min dE = -0.111 eV/atom
mp-862698,Ac2SiAu,True,,稳定: min dE = -0.042 eV/atom
mp-1183066,Ac2ZnAu,True,,稳定: min dE = -0.011 eV/atom
mp-1183066,Ac2ZnAu,True,,稳定: min dE = -0.011 eV/atom
mp-1183122,Ac3Si,False,,材料本身不稳定（不在凸包上）
mp-866199,AcAg,True,,稳定: min dE = -0.024 eV/atom
mp-1183122,Ac3Si,False,,材料本身不稳定（不在凸包上）
mp-862890,AcAg2Sn,False,,与 Li 反应: min dE = -0.146 eV/atom
mp-866199,AcAg,True,,稳定: min dE = -0.024 eV/atom
mp-865950,AcAg3,False,,与 Li 反应: min dE = -0.105 eV/atom
mp-862890,AcAg2Sn,False,,与 Li 反应: min dE = -0.146 eV/atom
mp-862972,AcAgAu2,False,,与 Li 反应: min dE = -0.153 eV/atom
mp-865950,AcAg3,False,,与 Li 反应: min dE = -0.105 eV/atom
mp-862617,AcAl3,True,,稳定: min dE = -0.006 eV/atom
mp-862972,AcAgAu2,False,,与 Li 反应: min dE = -0.153 eV/atom
mp-862617,AcAl3,True,,稳定: min dE = -0.006 eV/atom
mp-1183115,AcAlO3,False,,与 Li 反应: min dE = -0.072 eV/atom
mp-867838,AcAu3,False,,与 Li 反应: min dE = -0.164 eV/atom
mp-27972,AcBr3,False,,与 Li 反应: min dE = -0.148 eV/atom
mp-1183115,AcAlO3,False,,与 Li 反应: min dE = -0.072 eV/atom
mp-867838,AcAu3,False,,与 Li 反应: min dE = -0.164 eV/atom
mp-30274,AcBrO,True,,稳定: min dE = -0.000 eV/atom
mp-27972,AcBr3,False,,与 Li 反应: min dE = -0.148 eV/atom
mp-27971,AcCl3,False,,与 Li 反应: min dE = -0.151 eV/atom
mp-30274,AcBrO,True,,稳定: min dE = -0.000 eV/atom
mp-30273,AcClO,True,,稳定: min dE = -0.000 eV/atom
mp-27971,AcCl3,False,,与 Li 反应: min dE = -0.151 eV/atom
mp-866101,AcCrO3,False,,与 Li 反应: min dE = -0.363 eV/atom
mp-30273,AcClO,True,,稳定: min dE = -0.000 eV/atom
mp-1183114,AcCu3,True,,稳定: min dE = -0.000 eV/atom
mp-866101,AcCrO3,False,,与 Li 反应: min dE = -0.363 eV/atom
mp-864606,AcCuO3,False,,与 Li 反应: min dE = -0.808 eV/atom
mp-1183114,AcCu3,True,,稳定: min dE = -0.000 eV/atom
mp-977360,AcF3,False,,与 Li 反应: min dE = -0.190 eV/atom
mp-985278,AcF3,False,,与 Li 反应: min dE = -0.190 eV/atom
mp-864606,AcCuO3,False,,与 Li 反应: min dE = -0.808 eV/atom
mp-977360,AcF3,False,,与 Li 反应: min dE = -0.190 eV/atom
mp-985278,AcF3,False,,与 Li 反应: min dE = -0.190 eV/atom
mp-861502,AcFeO3,False,,与 Li 反应: min dE = -0.591 eV/atom
mp-24147,AcH2,True,,稳定: min dE = -0.000 eV/atom
