material_id,miller,mismatch_pct,mismatch_a_pct,mismatch_b_pct,angle_diff_deg,details
mp-11107,"(1, 1, 1)",1.047,0.659,1.047,0.28,"film(6,2) Li(7,5)"
mp-11107,"(1, 1, 1)",1.047,0.659,1.047,0.28,"film(6,2) Li(7,5)"
mp-11107,"(1, 1, 1)",1.047,0.659,1.047,0.28,"film(6,2) Li(7,5)"
mp-11107,"(1, 1, 0)",6.686,6.686,6.052,28.62,"film(3,4) Li(7,5)"
mp-11107,"(1, 0, 1)",6.686,6.052,6.686,28.62,"film(4,3) Li(5,7)"
mp-11107,"(1, 0, 1)",6.686,6.052,6.686,28.62,"film(4,3) Li(5,7)"
mp-11107,"(1, 0, 0)",6.686,6.052,6.686,28.62,"film(4,3) Li(5,7)"
mp-11107,"(1, 0, 0)",6.686,6.052,6.686,28.62,"film(4,3) Li(5,7)"
mp-11107,"(0, 0, 1)",1.702,1.702,1.702,58.62,"film(3,3) Li(4,4)"
mp-11107,"(0, 0, 1)",1.702,1.702,1.702,58.62,"film(3,3) Li(4,4)"
mp-11107,"(0, 0, 1)",1.702,1.702,1.702,58.62,"film(3,3) Li(4,4)"
mp-862698,"(1, 1, 1)",4.623,4.623,4.623,1.19,"film(4,4) Li(7,7)"
mp-862698,"(1, 1, 1)",4.623,4.623,4.623,1.19,"film(4,4) Li(7,7)"
mp-862698,"(1, 1, 0)",4.928,4.928,3.873,28.62,"film(4,2) Li(7,5)"
mp-862698,"(1, 0, 0)",4.928,4.928,4.928,28.62,"film(4,4) Li(7,7)"
mp-1183066,"(1, 1, 1)",4.915,4.915,4.915,1.19,"film(4,4) Li(7,7)"
mp-1183066,"(1, 1, 1)",4.915,4.915,4.915,1.19,"film(4,4) Li(7,7)"
mp-1183066,"(1, 1, 0)",5.221,5.221,4.164,28.62,"film(4,2) Li(7,5)"
mp-1183066,"(1, 0, 0)",5.221,5.221,5.221,28.62,"film(4,4) Li(7,7)"
mp-1183066,"(1, 1, 1)",4.915,4.915,4.915,1.19,"film(4,4) Li(7,7)"
mp-1183066,"(1, 1, 1)",4.915,4.915,4.915,1.19,"film(4,4) Li(7,7)"
mp-1183066,"(1, 1, 0)",5.221,5.221,4.164,28.62,"film(4,2) Li(7,5)"
mp-1183066,"(1, 0, 0)",5.221,5.221,5.221,28.62,"film(4,4) Li(7,7)"
mp-866199,"(1, 1, 1)",6.619,6.619,0.955,16.38,"film(1,3) Li(2,4)"
mp-866199,"(1, 1, 0)",0.955,0.955,0.955,28.62,"film(3,3) Li(4,4)"
mp-866199,"(1, 0, 0)",0.955,0.955,0.955,28.62,"film(3,3) Li(4,4)"
mp-866199,"(1, 1, 1)",6.619,6.619,0.955,16.38,"film(1,3) Li(2,4)"
mp-866199,"(1, 1, 0)",0.955,0.955,0.955,28.62,"film(3,3) Li(4,4)"
mp-866199,"(1, 0, 0)",0.955,0.955,0.955,28.62,"film(3,3) Li(4,4)"
mp-862617,"(1, 1, 1)",0.666,0.363,0.666,31.38,"film(1,3) Li(4,7)"
mp-862617,"(1, 1, 1)",0.666,0.363,0.666,31.38,"film(1,3) Li(4,7)"
mp-862617,"(1, 1, 0)",2.378,2.378,0.363,28.62,"film(2,1) Li(3,2)"
mp-862617,"(1, 1, 0)",2.378,2.378,0.363,28.62,"film(2,1) Li(3,2)"
mp-862617,"(1, 0, 1)",0.666,0.666,0.666,1.38,"film(3,3) Li(7,7)"
mp-862617,"(1, 0, 1)",0.666,0.666,0.666,1.38,"film(3,3) Li(7,7)"
mp-862617,"(1, 0, 1)",0.666,0.666,0.666,1.38,"film(3,3) Li(7,7)"
mp-862617,"(1, 0, 0)",2.378,0.363,2.378,28.62,"film(1,2) Li(2,3)"
mp-862617,"(1, 0, 0)",2.378,0.363,2.378,28.62,"film(1,2) Li(2,3)"
mp-862617,"(1, 0, 0)",2.378,0.363,2.378,28.62,"film(1,2) Li(2,3)"
mp-862617,"(1, 0, 0)",2.378,0.363,2.378,28.62,"film(1,2) Li(2,3)"
mp-862617,"(0, 0, 1)",0.666,0.666,0.666,58.62,"film(3,3) Li(7,7)"
mp-862617,"(1, 1, 1)",0.666,0.363,0.666,31.38,"film(1,3) Li(4,7)"
mp-862617,"(1, 1, 1)",0.666,0.363,0.666,31.38,"film(1,3) Li(4,7)"
mp-862617,"(1, 1, 0)",2.378,2.378,0.363,28.62,"film(2,1) Li(3,2)"
mp-862617,"(1, 1, 0)",2.378,2.378,0.363,28.62,"film(2,1) Li(3,2)"
mp-862617,"(1, 0, 1)",0.666,0.666,0.666,1.38,"film(3,3) Li(7,7)"
mp-862617,"(1, 0, 1)",0.666,0.666,0.666,1.38,"film(3,3) Li(7,7)"
mp-862617,"(1, 0, 1)",0.666,0.666,0.666,1.38,"film(3,3) Li(7,7)"
mp-862617,"(1, 0, 0)",2.378,0.363,2.378,28.62,"film(1,2) Li(2,3)"
mp-862617,"(1, 0, 0)",2.378,0.363,2.378,28.62,"film(1,2) Li(2,3)"
mp-862617,"(1, 0, 0)",2.378,0.363,2.378,28.62,"film(1,2) Li(2,3)"
mp-862617,"(1, 0, 0)",2.378,0.363,2.378,28.62,"film(1,2) Li(2,3)"
mp-862617,"(0, 0, 1)",0.666,0.666,0.666,58.62,"film(3,3) Li(7,7)"
mp-30274,"(1, 1, 1)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(1, 1, 1)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(1, 1, 1)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(1, 1, 0)",3.299,1.212,3.299,28.62,"film(2,5) Li(5,7)"
mp-30274,"(1, 0, 1)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(1, 0, 1)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(1, 0, 1)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(1, 0, 1)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(1, 0, 0)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(0, 0, 1)",3.299,3.299,3.299,28.62,"film(5,5) Li(7,7)"
mp-30274,"(0, 0, 1)",3.299,3.299,3.299,28.62,"film(5,5) Li(7,7)"
mp-30274,"(0, 0, 1)",3.299,3.299,3.299,28.62,"film(5,5) Li(7,7)"
mp-30274,"(1, 1, 1)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(1, 1, 1)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(1, 1, 1)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(1, 1, 0)",3.299,1.212,3.299,28.62,"film(2,5) Li(5,7)"
mp-30274,"(1, 0, 1)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(1, 0, 1)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(1, 0, 1)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(1, 0, 1)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(1, 0, 0)",3.299,3.299,1.212,28.62,"film(5,2) Li(7,5)"
mp-30274,"(0, 0, 1)",3.299,3.299,3.299,28.62,"film(5,5) Li(7,7)"
mp-30274,"(0, 0, 1)",3.299,3.299,3.299,28.62,"film(5,5) Li(7,7)"
mp-30274,"(0, 0, 1)",3.299,3.299,3.299,28.62,"film(5,5) Li(7,7)"
mp-30273,"(1, 1, 1)",2.167,1.863,2.167,28.62,"film(5,3) Li(7,7)"
mp-30273,"(1, 1, 1)",2.167,1.863,2.167,28.62,"film(5,3) Li(7,7)"
mp-30273,"(1, 1, 1)",2.167,1.863,2.167,28.62,"film(5,3) Li(7,7)"
