material_id,formula,coverage_ML,n_Li,E_clean_eV,E_ads_system_eV,E_ads_eV,status
mp-1000,BaTe,0.25,2,-98.179,-101.276,0.1862,success
mp-1000,BaTe,1.0,9,-98.179,-112.136,0.1839,success
mp-1001835,LiB,0.25,1,-338.5830078125,-340.82000732421875,-0.5016000270843506,success
mp-1001835,LiB,1.0,6,-338.5830078125,-350.8930053710937,-0.3169000148773193,success
mp-10057,VCoB3,0.25,3,-1224.7750244140625,-1232.3270263671875,-0.7825999855995178,success
mp-10057,VCoB3,1.0,13,-1224.7750244140625,-1225.8050537109375,1.655400037765503,success
mp-10059,ZrCo3B2,0.25,1,-903.385009765625,-909.2769775390624,-4.158199787139893,success
mp-10059,ZrCo3B2,1.0,6,-903.385009765625,-914.208984375,-0.0693999975919723,success
mp-1005986,Zr9CoMo4,0.25,8,-2975.49609375,-2979.958984375,1.176800012588501,success
mp-1005986,Zr9CoMo4,1.0,33,-2975.49609375,-2888.944091796875,4.357500076293945,success
mp-1007730,HfAl3,0.25,2,-442.5660095214844,-446.5530090332031,-0.2590000033378601,success
mp-1007730,HfAl3,1.0,8,-442.5660095214844,-458.74798583984375,-0.288100004196167,success
mp-1007855,FeNi3,0.25,1,-500.4330139160156,-503.22601318359375,-1.0580999851226809,success
mp-1007855,FeNi3,1.0,5,-500.4330139160156,-511.9169921875,-0.5622000098228455,success
mp-1007881,FeB,0.25,1,-751.8400268554688,-754.4030151367188,-0.8281000256538391,success
mp-1007881,FeB,1.0,5,-751.8400268554688,-763.39501953125,-0.5763000249862671,success
mp-1008349,Co3Ni,0.25,1,-519.3079833984375,-521.7979736328125,-0.7555999755859375,success
mp-1008349,Co3Ni,1.0,6,-519.3079833984375,-534.3679809570312,-0.7753999829292297,success
mp-1008487,BW,0.25,1,-957.6539916992188,-960.6690063476562,-1.280500054359436,success
mp-1008487,BW,1.0,6,-957.6539916992188,-973.802001953125,-0.9567000269889832,success
mp-1008555,AlCu3,0.25,1,-326.8510131835937,-329.2380065917969,-0.6521999835968018,success
mp-1008555,AlCu3,1.0,6,-326.8510131835937,-340.7489929199219,-0.5817000269889832,success
mp-1008632,V2C,0.25,1,-881.2949829101562,-884.1939697265625,-1.1649999618530271,success
mp-1008632,V2C,1.0,5,-881.2949829101562,-892.64501953125,-0.5353999733924866,success
mp-1009133,MnCo,0.25,1,-440.8590087890625,-443.0220031738281,-0.4275000095367431,success
mp-1009133,MnCo,1.0,4,-440.8590087890625,-448.0459899902344,-0.061999998986721,success
mp-1009545,PaN,0.25,1,-333.75201416015625,-335.29400634765625,0.1932000070810318,success
mp-1009545,PaN,1.0,4,-333.75201416015625,-341.1960144042969,-0.1262000054121017,success
mp-1009730,Ca2Sn,0.25,2,-105.5739974975586,-111.7760009765625,-1.366199970245361,success
mp-1009730,Ca2Sn,1.0,10,-105.5739974975586,-130.8209991455078,-0.7900000214576721,success
mp-1009733,Ca2Si,0.25,2,-115.2310028076172,-121.40599822998048,-1.3524999618530271,success
mp-1009733,Ca2Si,1.0,9,-115.2310028076172,-139.77000427246094,-0.9919000267982484,success
mp-10117,Mg3(Ni10B3)2,0.25,4,-1322.97900390625,-1333.998046875,-1.0199999809265137,success
mp-10117,Mg3(Ni10B3)2,1.0,19,-1322.97900390625,-1357.551025390625,-0.0848999992012977,success
mp-1012551,BaBrCl,0.25,5,-425.5140075683594,-447.4450073242188,-2.651400089263916,success
mp-1012551,BaBrCl,1.0,20,-425.5140075683594,-469.2300109863281,-0.4510999917984009,success
mp-10126,V5SiB2,0.25,3,-2155.1640625,-2162.491943359375,-0.7078999876976013,success
