material_id,surface_miller,path,li_displacement_A,barrier_eV,status
mp-568718,"(0, 0, 1)",top_to_bridge,2.824,0.0004,success
mp-568718,"(0, 0, 1)",bridge_to_hollow,1.411,0.0,success
mp-568718,"(0, 0, 1)",hollow_to_top,1.448,0.3233999907970428,success
mp-1387,"(1, 1, 1)",top_to_bridge,19.199,0.6992999911308289,success
mp-1387,"(1, 1, 1)",bridge_to_hollow,1.741,0.4386000037193298,success
mp-1387,"(1, 1, 1)",hollow_to_top,17.765,0.2549000084400177,success
mp-1077790,"(1, 0, 0)",top_to_bridge,8.608,0.1782000064849853,success
mp-1077790,"(1, 0, 0)",bridge_to_hollow,0.038,,Li位移过小(0.04Å)
mp-1077790,"(1, 0, 0)",hollow_to_top,8.586,0.2091999948024749,success
mp-1017983,"(1, 1, 0)",top_to_bridge,13.454,0.3375000059604645,success
mp-1017983,"(1, 1, 0)",bridge_to_hollow,3.134,0.324099987745285,success
mp-1017983,"(1, 1, 0)",hollow_to_top,10.385,0.1900999993085861,success
mp-628,"(1, 0, 1)",top_to_bridge,0.033,,Li位移过小(0.03Å)
mp-628,"(1, 0, 1)",bridge_to_hollow,3.725,0.8205999732017517,success
mp-628,"(1, 0, 1)",hollow_to_top,3.697,0.7157999873161316,success
mp-1217044,"(0, 0, 1)",top_to_bridge,5.845,0.0001999999949475,success
mp-1217044,"(0, 0, 1)",bridge_to_hollow,1.605,0.0001999999949475,success
mp-1217044,"(0, 0, 1)",hollow_to_top,5.437,0.6847000122070312,success
mp-1216394,"(0, 0, 1)",top_to_bridge,2.124,0.0,success
mp-1216394,"(0, 0, 1)",bridge_to_hollow,0.009,,Li位移过小(0.01Å)
mp-1216394,"(0, 0, 1)",hollow_to_top,2.115,0.3422000110149383,success
mp-259,"(1, 1, 0)",top_to_bridge,12.989,1.0199999809265137,success
mp-259,"(1, 1, 0)",bridge_to_hollow,0.018,,Li位移过小(0.02Å)
mp-259,"(1, 1, 0)",hollow_to_top,12.989,1.4392999410629272,success
mp-1001835,"(1, 0, 1)",top_to_bridge,4.021,0.3397000133991241,success
mp-1001835,"(1, 0, 1)",bridge_to_hollow,0.065,,Li位移过小(0.07Å)
mp-1001835,"(1, 0, 1)",hollow_to_top,4.008,0.3393999934196472,success
mp-395,"(0, 0, 1)",top_to_bridge,4.473,0.0,success
mp-395,"(0, 0, 1)",bridge_to_hollow,1.442,0.0,success
mp-395,"(0, 0, 1)",hollow_to_top,5.84,0.3458999991416931,success
mp-31185,"(1, 0, 0)",top_to_bridge,6.936,1.2111999988555908,success
mp-1078746,"(1, 0, 0)",top_to_bridge,9.638,0.0003000000142492,success
mp-1078746,"(1, 0, 0)",bridge_to_hollow,3.578,1.184599995613098,success
mp-1078746,"(1, 0, 0)",hollow_to_top,10.614,0.0,success
mp-1813,"(1, 0, 1)",top_to_bridge,13.376,0.5313000082969666,success
mp-1813,"(1, 0, 1)",bridge_to_hollow,2.608,0.3456000089645386,success
mp-1813,"(1, 0, 1)",hollow_to_top,12.049,0.1622000038623809,success
mp-21312,"(1, 0, 1)",top_to_bridge,5.578,0.2739000022411346,success
mp-21312,"(1, 0, 1)",bridge_to_hollow,3.868,0.0,success
mp-21312,"(1, 0, 1)",hollow_to_top,9.239,0.9839000105857848,success
mp-1183162,"(1, 1, 1)",top_to_bridge,5.136,0.1817999929189682,success
mp-1183162,"(1, 1, 1)",bridge_to_hollow,0.009,,Li位移过小(0.01Å)
mp-1183162,"(1, 1, 1)",hollow_to_top,5.136,0.1824000030755996,success
mp-21536,"(1, 1, 1)",top_to_bridge,5.646,0.0,success
mp-21536,"(1, 1, 1)",bridge_to_hollow,2.899,0.5333999991416931,success
mp-21536,"(1, 1, 1)",hollow_to_top,5.097,1.1748000383377075,success
mp-30183,"(0, 0, 1)",top_to_bridge,5.63,0.5695000290870667,success
mp-30183,"(0, 0, 1)",bridge_to_hollow,1.661,0.0,success
mp-30183,"(0, 0, 1)",hollow_to_top,6.632,0.1521999984979629,success
mp-2726,"(1, 0, 1)",top_to_bridge,6.591,0.5001999735832214,success
mp-2726,"(1, 0, 1)",bridge_to_hollow,0.048,,Li位移过小(0.05Å)
mp-2726,"(1, 0, 1)",hollow_to_top,6.627,0.4997999966144562,success
mp-12174,"(0, 0, 1)",top_to_bridge,2.275,0.0,success
mp-12174,"(0, 0, 1)",bridge_to_hollow,1.662,0.0,success
mp-12174,"(0, 0, 1)",hollow_to_top,3.171,1.0990999937057495,success
mp-7991,"(0, 0, 1)",top_to_bridge,0.98,0.0,success
mp-1042,"(0, 0, 1)",top_to_bridge,6.596,0.4162000119686126,success
mp-1042,"(0, 0, 1)",bridge_to_hollow,4.579,0.4016999900341034,success
mp-1042,"(0, 0, 1)",hollow_to_top,2.405,0.453900009393692,success
mp-723352,"(0, 0, 1)",top_to_bridge,57.059,0.0,isolated_atom_untrusted
mp-723352,"(0, 0, 1)",bridge_to_hollow,36.504,2.122999906539917,success
mp-723352,"(0, 0, 1)",hollow_to_top,93.309,4.677000045776367,success
mp-641573,"(1, 1, 1)",top_to_bridge,19.905,1.591099977493286,success
mp-641573,"(1, 1, 1)",bridge_to_hollow,2.187,0.0010000000474974,success
mp-641573,"(1, 1, 1)",hollow_to_top,21.015,2.2437000274658203,success
mp-12657,"(0, 0, 1)",top_to_bridge,5.346,0.0,success
mp-1095672,"(0, 0, 1)",top_to_bridge,3.973,0.0,success
mp-1095672,"(0, 0, 1)",bridge_to_hollow,2.934,0.0,success
mp-1095672,"(0, 0, 1)",hollow_to_top,3.315,1.5980000495910645,success
mp-629015,"(0, 0, 1)",top_to_bridge,0.958,0.0,success
mp-686129,"(1, 1, 1)",__skip__,0.0,0.0,skipped_repeated_hang
mp-567276,"(1, 1, 1)",top_to_bridge,10.264,0.272599995136261,success
mp-567276,"(1, 1, 1)",bridge_to_hollow,5.054,1.055799961090088,success
mp-567276,"(1, 1, 1)",hollow_to_top,5.608,1.0490000247955322,success
mp-1215554,"(0, 0, 1)",top_to_bridge,10.064,0.1428000032901764,success
mp-1215554,"(0, 0, 1)",bridge_to_hollow,0.048,,Li位移过小(0.05Å)
mp-1215554,"(0, 0, 1)",hollow_to_top,10.033,0.1448000073432922,success
mp-2108,"(1, 0, 1)",top_to_bridge,6.387,0.3795999884605407,success
mp-2108,"(1, 0, 1)",bridge_to_hollow,0.018,,Li位移过小(0.02Å)
mp-2108,"(1, 0, 1)",hollow_to_top,6.374,0.7888000011444092,success
mp-7285,"(0, 0, 1)",top_to_bridge,3.288,0.5162000060081482,success
