material_id,formula,mismatch_pct,E_ads_eV,S_lattice,S_adsorption,barrier_eV,S_diffusion,score_mode,score
mp-568718,HfAl3,0.057,-0.4984000027179718,0.9929,1.0,0.0,1.0,with_neb,0.9978
mp-1217044,TiAlNi6,0.158,-0.508400022983551,0.9802,0.9991,0.0002,0.9998,with_neb,0.9937
mp-1216394,VCr,0.024,-0.5339999794960022,0.997,0.9857,0.0,1.0,with_neb,0.9934
mp-395,ZrAl3,0.149,-0.5209000110626221,0.9814,0.9946,0.0,1.0,with_neb,0.9922
mp-1078746,Sr2FeH6,0.105,-0.5339000225067139,0.9869,0.9857,0.0,1.0,with_neb,0.9904
mp-21312,Ca(Ni2B)6,0.018,-0.4550000131130218,0.9978,0.975,0.0,1.0,with_neb,0.9893
mp-21536,Ni2Mo4C,0.181,-0.5303000211715698,0.9774,0.9886,0.0,1.0,with_neb,0.9886
mp-30183,ZrAl5Ni2,0.326,-0.5109999775886536,0.9592,0.9985,0.0,1.0,with_neb,0.9872
mp-12174,HfNi3,0.393,-0.489300012588501,0.9509,0.9986,0.0,1.0,with_neb,0.9847
mp-7991,BN,0.362,-0.4803999960422516,0.9548,0.9952,0.0,1.0,with_neb,0.9845
mp-723352,Li2S,0.374,-0.4796999990940094,0.9532,0.9949,0.0,1.0,with_neb,0.9839
mp-12657,HfAl2,0.102,-0.5526000261306763,0.9872,0.966,0.0,1.0,with_neb,0.9826
mp-1095672,Ta2V3Si,0.453,-0.4898000061511993,0.9434,0.9987,0.0,1.0,with_neb,0.9825
mp-641573,Cr21(MoC3)2,0.22,-0.5429999828338623,0.9725,0.9772,0.001,0.999,with_neb,0.9823
mp-629015,BN,0.388,-0.4740000069141388,0.9515,0.9916,0.0,1.0,with_neb,0.9821
mp-686129,Li5TiN3,0.472,-0.5072000026702881,0.941,0.9994,0.0,1.0,with_neb,0.982
mp-604884,BN,0.384,-0.4688000082969665,0.952,0.9879,0.0,1.0,with_neb,0.9808
mp-862658,LiCu3,0.503,-0.4788999855518341,0.9371,0.9945,0.0,1.0,with_neb,0.9789
mp-22793,AlFe3C,0.08,-0.5619999766349792,0.99,0.9531,0.0,1.0,with_neb,0.9782
mp-1192350,NbFe2,0.02,-0.5669999718666077,0.9975,0.9454,0.0,1.0,with_neb,0.9774
mp-171,VNi3,0.493,-0.5285999774932861,0.9384,0.9898,0.0,1.0,with_neb,0.9774
mp-1216352,VFe3,0.45,-0.5389999747276306,0.9438,0.9812,0.0,1.0,with_neb,0.9756
mp-16336,Zr2Fe3Si,0.503,-0.535099983215332,0.9371,0.9847,0.0,1.0,with_neb,0.975
mp-569803,B2W,0.682,-0.4889000058174133,0.9148,0.9985,0.0,1.0,with_neb,0.9738
mp-1190681,ZrFe2,0.39,-0.5493000149726868,0.9512,0.9701,0.0,1.0,with_neb,0.9734
mp-2213,FeNi,0.668,-0.519599974155426,0.9165,0.9952,0.0,1.0,with_neb,0.973
mp-861991,PaMn2Al,0.736,-0.4887999892234802,0.908,0.9984,0.0,1.0,with_neb,0.9718
mp-973904,HfCr2,0.586,-0.460999995470047,0.9268,0.9812,0.0,1.0,with_neb,0.9705
mp-1218003,TaAl2Ni9,0.325,-0.440200001001358,0.9594,0.9563,0.0,1.0,with_neb,0.9703
mp-1185312,LiCu3,0.648,-0.4656000137329101,0.919,0.9853,0.0003,0.9997,with_neb,0.9697
mp-1067,LiAl,0.519,-0.5360000133514404,0.9351,0.9839,0.0313,0.9687,with_neb,0.9647
mp-20211,Mn3Si,0.48,-0.5419999957084656,0.94,0.9782,0.0474,0.9526,with_neb,0.9591
mp-28930,KC8,0.562,-0.4569000005722046,0.9298,0.977,,,pre_neb,0.9568
mp-567705,TiAl2,0.759,-0.5235999822616577,0.9051,0.9931,,,pre_neb,0.9554
