material_id,formula,energy_above_hull,n_elements,formula_sta,stability_passed,stability_min_dE_eV,stability_details,best_miller,best_mismatch_pct,best_mismatch_a_pct,best_mismatch_b_pct,best_angle_diff_deg,lattice_details,formula_ads,best_coverage_ML,best_n_Li,best_E_clean_eV,best_E_ads_system_eV,best_E_ads_eV,best_ads_status,best_path,best_barrier_eV,best_neb_status,ranked_mismatch_pct,ranked_E_ads_eV,S_lattice,S_adsorption,ranked_barrier_eV,S_diffusion,score_mode,score,final_rank,final_decision
mp-568718,HfAl3,0.0,2,HfAl3,True,,稳定: min dE = -0.039 eV/atom,"(0, 0, 1)",0.057,0.057,0.057,28.62,"film(3,3) Li(4,4)",HfAl3,1.0,7.0,-354.2929992675781,-369.9249877929688,-0.4984000027179718,success,bridge_to_hollow,0.0,success,0.057,-0.4984000027179718,0.9929,1.0,0.0,1.0,with_neb,0.9978,1.0,入围：已完成综合评分
mp-1217044,TiAlNi6,0.0,3,TiAlNi6,True,,稳定: min dE = -0.000 eV/atom,"(0, 0, 1)",0.158,0.158,0.158,28.62,"film(5,5) Li(6,6)",TiAlNi6,1.0,6.0,-388.89300537109375,-402.35198974609375,-0.508400022983551,success,top_to_bridge,0.0001999999949475,success,0.158,-0.508400022983551,0.9802,0.9991,0.0002,0.9998,with_neb,0.9937,2.0,入围：已完成综合评分
mp-1216394,VCr,0.090763840000001,2,VCr,True,,稳定: min dE = -0.000 eV/atom,"(0, 0, 1)",0.024,0.024,0.024,48.96,"film(7,7) Li(6,6)",VCr,0.25,1.0,-218.33599853515625,-220.60400390625,-0.5339999794960022,success,top_to_bridge,0.0,success,0.024,-0.5339999794960022,0.997,0.9857,0.0,1.0,with_neb,0.9934,3.0,入围：已完成综合评分
mp-395,ZrAl3,0.0,2,ZrAl3,True,,稳定: min dE = -0.025 eV/atom,"(0, 0, 1)",0.149,0.149,0.149,28.62,"film(3,3) Li(4,4)",ZrAl3,1.0,7.0,-337.70098876953125,-353.489990234375,-0.5209000110626221,success,top_to_bridge,0.0,success,0.149,-0.5209000110626221,0.9814,0.9946,0.0,1.0,with_neb,0.9922,4.0,入围：已完成综合评分
mp-1078746,Sr2FeH6,0.0,3,Sr2FeH6,True,,稳定: min dE = -0.028 eV/atom,"(1, 0, 0)",0.105,0.105,0.105,28.62,"film(4,4) Li(7,7)",Sr2FeH6,0.25,2.0,-436.8200073242188,-441.3569946289063,-0.5339000225067139,success,hollow_to_top,0.0,success,0.105,-0.5339000225067139,0.9869,0.9857,0.0,1.0,with_neb,0.9904,5.0,入围：已完成综合评分
mp-21312,Ca(Ni2B)6,0.0,3,Ca(Ni2B)6,True,,稳定: min dE = -0.000 eV/atom,"(1, 0, 1)",0.018,0.018,0.018,43.07,"film(3,1) Li(6,2)",Ca(Ni2B)6,1.0,15.0,-1366.6390380859375,-1399.4840087890625,-0.4550000131130218,success,bridge_to_hollow,0.0,success,0.018,-0.4550000131130218,0.9978,0.975,0.0,1.0,with_neb,0.9893,6.0,入围：已完成综合评分
mp-21536,Ni2Mo4C,0.0,3,Ni2Mo4C,True,,稳定: min dE = 0.000 eV/atom,"(1, 1, 1)",0.181,0.181,0.181,58.62,"film(3,3) Li(8,8)",Ni2Mo4C,0.25,5.0,-2009.884033203125,-2021.208984375,-0.5303000211715698,success,top_to_bridge,0.0,success,0.181,-0.5303000211715698,0.9774,0.9886,0.0,1.0,with_neb,0.9886,7.0,入围：已完成综合评分
mp-30183,ZrAl5Ni2,0.0,3,ZrAl5Ni2,True,,稳定: min dE = -0.025 eV/atom,"(0, 0, 1)",0.326,0.326,0.326,28.62,"film(3,3) Li(4,4)",ZrAl5Ni2,1.0,7.0,-336.6820068359375,-352.4010009765625,-0.5109999775886536,success,bridge_to_hollow,0.0,success,0.326,-0.5109999775886536,0.9592,0.9985,0.0,1.0,with_neb,0.9872,8.0,入围：已完成综合评分
mp-12174,HfNi3,0.0,2,HfNi3,True,,稳定: min dE = 0.000 eV/atom,"(0, 0, 1)",0.393,0.393,0.393,58.62,"film(4,4) Li(7,7)",HfNi3,1.0,12.0,-1150.4730224609375,-1177.1600341796875,-0.489300012588501,success,top_to_bridge,0.0,success,0.393,-0.489300012588501,0.9509,0.9986,0.0,1.0,with_neb,0.9847,9.0,入围：已完成综合评分
mp-7991,BN,0.007704892500001,2,BN,True,,稳定: min dE = -0.033 eV/atom,"(0, 0, 1)",0.362,0.362,0.362,58.62,"film(6,6) Li(5,5)",BN,0.25,1.0,-284.468994140625,-286.6839904785156,-0.4803999960422516,success,top_to_bridge,0.0,success,0.362,-0.4803999960422516,0.9548,0.9952,0.0,1.0,with_neb,0.9845,10.0,入围：已完成综合评分
